image_path,label_path
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (10).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (10).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (100).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (100).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (102).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (102).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (103).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (103).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (105).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (105).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (106).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (106).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (107).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (107).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (108).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (108).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (109).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (109).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (11).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (11).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (110).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (110).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (111).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (111).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (112).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (112).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (113).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (113).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (114).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (114).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (115).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (115).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (116).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (116).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (117).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (117).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (118).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (118).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (119).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (119).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (120).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (120).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (121).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (121).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (122).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (122).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (123).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (123).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (124).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (124).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (125).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (125).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (126).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (126).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (127).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (127).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (128).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (128).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (129).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (129).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (13).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (13).txt
/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/images/00 (130).jpg,/home/murtaza/University_Data/deep_learning/assignment3/Task_02_vehicles_dataset/labels/00 (130).txt
